"Jahr","Monat","Gemeinde","Betriebe","Zimmer","Betten","Ankünfte","Logiernächte","Zimmernächte","Zimmerauslastung in %","Bettenauslastung in %"
"2024","Februar","Poschiavo",16,207,440,2041,3660,2186,36,29
"2024","Februar","Laax",9,654,2069,8413,43468,16490,87,72
"2024","Februar","Vals",12,245,501,3757,9516,4953,70,65
"2024","Februar","Lumnezia",9,68,158,542,1775,1028,54,40
"2024","Februar","Ilanz/Glion",5,102,179,1217,2247,1543,54,45
"2024","Februar","Rheinwald",6,89,193,901,2418,1426,55,43
"2024","Februar","Flims",18,682,1441,9022,31528,15656,79,75
"2024","Februar","Zernez",11,289,596,2722,6396,3805,45,37
"2024","Februar","Samnaun",30,621,1304,6945,31380,15594,87,83
"2024","Februar","Scuol",34,914,1933,9836,37408,17914,68,67
"2024","Februar","Celerina/Schlarigna",8,410,805,4677,17900,9715,82,77
"2024","Februar","Pontresina",21,1168,2461,15040,54503,29087,86,76
"2024","Februar","Samedan",8,161,343,2589,6063,3150,67,61
"2024","Februar","St. Moritz",34,2634,5009,29335,112114,60459,79,77
"2024","Februar","Bregaglia",11,249,569,2225,6692,3280,46,41
"2024","Februar","Val Müstair",14,201,430,1633,5115,2891,51,43
"2024","Februar","Davos",58,3523,6993,44272,124486,65510,64,61
"2024","Februar","Klosters",23,635,1400,7164,25025,11956,65,62
"2024","Februar","Chur",16,555,1065,11381,18094,12055,75,59
"2024","Februar","Arosa",41,1785,3527,20323,84507,40152,78,83
"2024","Februar","Maienfeld",5,124,242,1561,2473,1666,46,35
"2024","Februar","Breil/Brigels",11,193,421,1780,6113,2996,54,50
"2024","Februar","Tujetsch",10,167,490,2242,9725,3478,73,69
"2024","Februar","Aarau",4,134,222,1198,1899,1538,41,30
"2024","Februar","Baden",9,461,765,4096,8618,6992,52,39
"2024","Februar","Lenzburg",3,113,189,978,2047,1811,55,37
"2024","Februar","Rheinfelden",3,75,123,837,2041,1260,58,57
"2024","Februar","Zofingen",3,97,160,572,1499,1241,44,32
"2024","Februar","Arbon",6,150,307,1091,1951,1572,36,22
"2024","Februar","Frauenfeld",5,167,320,1042,2318,2023,42,25
"2024","Februar","Kreuzlingen",6,150,295,843,1876,1382,35,24
"2024","Februar","Bellinzona",15,402,827,3190,4912,3616,31,21
"2024","Februar","Ascona",17,652,1354,3870,9157,5372,30,25
"2024","Februar","Locarno",16,533,1102,5029,9576,6430,42,30
"2024","Februar","Muralto",11,298,578,2534,4674,2817,40,34
"2024","Februar","Lugano",29,1351,2382,10743,19807,13622,36,30
"2024","Februar","Paradiso",9,518,1123,6299,10044,6056,40,31
"2024","Februar","Collina d'Oro",4,83,170,50,154,123,5,3
"2024","Februar","Monteceneri",3,33,60,69,124,84,9,7
"2024","Februar","Chiasso",3,109,246,1123,1750,1026,32,25
"2024","Februar","Mendrisio",8,195,405,1817,2721,2022,36,23
"2024","Februar","Leysin",5,454,1442,7698,25272,9029,70,61
"2024","Februar","Ollon",10,516,1102,6236,17952,8845,59,56
"2024","Februar","Ormont-Dessus",5,230,461,2448,7105,3742,56,53
"2024","Februar","Bullet",4,85,191,766,1696,1034,44,33
"2024","Februar","Lausanne",34,3145,5770,28169,54683,40081,44,33
"2024","Februar","Bourg-en-Lavaux",4,88,161,1054,1494,1107,43,32
"2024","Februar","Morges",7,230,502,1608,4754,3371,51,33
"2024","Februar","Nyon",8,335,697,3063,5335,4328,45,26
"2024","Februar","Château-d'Oex",4,95,175,728,1710,1230,45,34
"2024","Februar","Le Chenit",6,137,288,1170,1864,1237,31,22
"2024","Februar","Montreux",17,1238,2290,11191,19811,12665,35,30
"2024","Februar","Vevey",11,404,652,2748,5425,4183,36,29
"2024","Februar","Blonay - Saint-Légier",4,154,312,1557,2049,1282,29,23
"2024","Februar","Yverdon-les-Bains",6,302,603,2601,3630,2601,30,21
"2024","Februar","Brig-Glis",13,510,1101,7587,16790,10922,74,53
"2024","Februar","Nendaz",8,133,266,2079,5371,2806,73,70
"2024","Februar","Orsières",16,250,660,2075,4788,2450,35,26
"2024","Februar","Val de Bagnes",25,675,1458,8265,30658,15730,80,73
"2024","Februar","Goms",12,210,418,3017,8704,5001,83,72
"2024","Februar","Evolène",12,190,403,2251,5311,2638,49,47
"2024","Februar","Leukerbad",26,792,1538,12522,29825,15451,67,67
"2024","Februar","Martigny",7,345,623,3841,6466,4514,45,36
"2024","Februar","Champéry",12,347,696,3831,10857,6140,61,54
"2024","Februar","Saint-Maurice",3,90,156,848,1378,1211,46,30
"2024","Februar","Sierre",5,138,274,1431,2324,1740,43,29
"2024","Februar","Anniviers",23,544,1381,7994,27953,12275,81,72
"2024","Februar","Crans-Montana",27,984,2173,11046,34739,18217,64,55
"2024","Februar","Sion",6,329,636,6414,8744,5923,62,47
"2024","Februar","Saas-Fee",30,728,1578,9656,35241,17496,83,77
"2024","Februar","Saas-Grund",13,268,563,3663,10128,5294,68,62
"2024","Februar","Visp",4,132,259,2003,3713,2669,70,50
"2024","Februar","Zermatt",107,3607,7431,51438,194202,92639,89,90
"2024","Februar","La Grande Béroche",4,51,95,359,704,558,38,26
"2024","Februar","La Chaux-de-Fonds",7,215,361,1287,2390,1823,29,23
"2024","Februar","Neuchâtel",15,565,1004,4563,8146,6292,38,28
"2024","Februar","Laténa",...,...,...,...,...,...,...,...
"2024","Februar","Genève",87,6907,12152,77541,153790,111937,56,44
"2024","Februar","Lancy",3,334,699,3565,7147,5370,55,35
"2024","Februar","Meyrin",12,1970,3147,30371,49078,36879,65,54
"2024","Februar","Vernier",6,998,1670,8281,15618,9816,34,32
"2024","Februar","Delémont",9,222,439,1445,2302,2044,32,18
"2024","Februar","Saignelégier",6,93,199,665,988,678,30,21
"2024","Februar","Porrentruy",10,87,169,377,546,420,17,12
"2024","Februar","Clos du Doubs",4,44,95,139,171,103,8,6
"2024","Februar","Moutier (JU)",...,...,...,...,...,...,...,...
"2024","März","Kloten",7,1387,2599,26566,36776,27292,63,46
"2024","März","Opfikon",10,2285,4524,30894,49688,36267,51,35
"2024","März","Dübendorf",5,172,273,1586,3295,2402,46,40
"2024","März","Uster",5,170,310,1308,3719,2892,55,39
"2024","März","Winterthur",19,811,1517,7955,14711,11233,45,32
"2024","März","Zürich",127,9368,18356,159239,287793,190606,66,51
"2024","März","Wädenswil",4,69,122,517,1115,855,41,30
"2024","März","Horgen",4,88,132,608,1065,821,31,27
"2024","März","Langenthal",4,147,286,2010,2983,2501,55,34
"2024","März","Bern",41,2874,5544,42434,73502,50716,57,43
"2024","März","Köniz",5,65,146,566,1379,1168,60,31
"2024","März","Biel/Bienne",8,443,844,4629,7661,5917,43,29
"2024","März","Burgdorf",4,100,242,1384,1954,1265,44,30
"2024","März","Adelboden",18,693,1453,7552,17610,10007,47,39
"2024","März","Aeschi bei Spiez",4,76,148,850,1031,585,25,22
"2024","März","Kandersteg",12,322,649,3048,5503,3119,35,30
"2024","März","Reichenbach im Kandertal",8,146,368,868,2434,1408,31,21
"2024","März","Beatenberg",12,334,782,3856,7823,3854,40,34
"2024","März","Brienz (BE)",12,288,613,2699,4250,2376,27,23
"2024","März","Grindelwald",47,1646,3617,27533,60449,31230,61,54
"2024","März","Interlaken",30,1660,3607,25642,48752,26791,54,45
"2024","März","Lauterbrunnen",42,1305,2828,14286,39241,22273,56,46
"2024","März","Matten bei Interlaken",5,180,358,1565,3135,1821,33,28
"2024","März","Unterseen",13,371,841,6242,12390,5903,53,49
"2024","März","Wilderswil",9,313,645,4067,8065,4927,52,41
"2024","März","Moutier (BE)",3,34,66,141,304,249,24,15
"2024","März","Diemtigen",5,72,191,191,469,254,17,11
"2024","März","Spiez",12,393,715,4125,7203,4716,41,34
"2024","März","Hasliberg",12,317,717,2929,6145,3506,36,28
"2024","März","Innertkirchen",9,165,368,487,888,497,13,10
"2024","März","Meiringen",11,296,700,2192,4155,2453,28,21
"2024","März","Lenk",15,431,826,5496,10715,6015,47,43
"2024","März","Saanen",29,1139,2324,11324,25129,14122,46,40
"2024","März","Langnau im Emmental",4,47,92,549,737,544,37,26
"2024","März","Schangnau",4,58,116,901,1124,632,35,31
"2024","März","Sigriswil",9,288,540,3592,7147,4020,50,48
